SERVNO,Request Date,Resolved Date,AddrType,Address,CrossStreet,GraffitiType,GraffitiMoniker,GraffitiMoniker2,GraffitiMoniker3,Latitude,Longitude
25478,05/30/2008 12:00:00 AM,06/05/2008 12:00:00 AM,I,    LATHAM ST ROCKFORD IL 61103,  RIVER BLUFF BLVD ROCKFORD IL 61103,, ,,,42.314,-89.0813
25480,05/30/2008 12:00:00 AM,06/10/2008 12:00:00 AM,I,    HOLIDAY DR ROCKFORD IL 61109,  MERIDAY LN ROCKFORD IL 61109,, ,,,42.2263,-89.0452
25951,06/02/2008 12:00:00 AM,06/03/2008 12:00:00 AM,I,    HARLEM RD LOVES PARK IL 61111,N PERRYVILLE RD LOVES PARK IL 61111,, ,,,42.3404,-89.0085
25953,06/02/2008 12:00:00 AM,06/10/2008 12:00:00 AM,I,    HARLEM RD LOVES PARK IL 61111,N PERRYVILLE RD LOVES PARK IL 61111,Unknown, ,,,42.3404,-89.0086
26025,06/03/2008 12:00:00 AM,06/12/2008 12:00:00 AM,I,    35TH ST ROCKFORD IL 61109,  BONANZA WAY ROCKFORD IL 61109,Kids, ,,,42.2057,-89.0334
26135,06/04/2008 12:00:00 AM,06/04/2008 12:00:00 AM,I,    ASHLAND AVE ROCKFORD IL 61103,N ROCKTON AVE ROCKFORD IL 61103,, ,,,42.2852,-89.0966
26136,06/04/2008 12:00:00 AM,06/04/2008 12:00:00 AM,I,  N ROCKTON AVE ROCKFORD IL 61103,  WHITMAN ST ROCKFORD IL 61103,, ,,,42.2817,-89.0966
26139,06/04/2008 12:00:00 AM,06/12/2008 12:00:00 AM,I,  S 6TH ST ROCKFORD IL 61104,  21ST AVE ROCKFORD IL 61104,Unknown, ,,,42.2441,-89.0825
26601,06/09/2008 12:00:00 AM,06/12/2008 12:00:00 AM,I,    8TH ST ROCKFORD IL 61104,  BROADWAY   ROCKFORD IL 61104,Hip Hop,ZARS,,,42.2524,-89.0789
26603,06/09/2008 12:00:00 AM,11/17/2008 12:00:00 AM,I,    KISHWAUKEE ST ROCKFORD IL 61109,  SANDY HOLLOW RD ROCKFORD IL 61109,Hip Hop,SLAC,,,42.2233,-89.0869
26605,06/09/2008 12:00:00 AM,06/12/2008 12:00:00 AM,I,    1ST AVE ROCKFORD IL 61107,N LONGWOOD ST ROCKFORD IL 61107,Hip Hop,STROKE,,,42.2669,-89.0796
26607,06/09/2008 12:00:00 AM,06/12/2008 12:00:00 AM,I,    BENTON ST ROCKFORD IL 61107,N LONGWOOD ST ROCKFORD IL 61107,Gang, ,,,42.2703,-89.0796
26611,06/09/2008 12:00:00 AM,06/13/2008 12:00:00 AM,I,  N ALPINE RD ROCKFORD IL 61107,  RURAL ST ROCKFORD IL 61107,Kids, ,,,42.2746,-89.029
